Sentence1,Sentence2,Label
डायमंड गार्डनसारख्या अनेक ठिकाणी रस्त्यांची दुरवस्था आहे,घणसोली घणसोली सेक्टर १ येथील रस्त्यांची अत्यंत दुरवस्था झाली आहे,NP
हा प्रकार पोलिसांना कळताच मारवड अमळनेर येथून पोलिस पथक तर जळगावमधून अमळनेर तहसीलदार प्रमोद रिले घटनास्थळी दाखल झाले,मारवड अमळनेर येथून पोलिस पथक तर जळगावमधून अमळनेर तहसीलदार प्रमोद रिले घटनास्थळी दाखल झाले,NP
"त्यामुळ अन्न सुरक्षा योजनेतील धान्य एपीएल कार्डधारकांना वर्ग करून, त्यातून आता आश्रमशाळांना मागणीनुसार धान्य देता येणार आहे, असा तोडगा पुरवठा विभागाने काढला आहे","त्यावर उपाय म्हणून या आश्रमशाळांना मागणीनुसार धान्य देण्यासाठी इतर योजनेतील शिल्लक धान्य वर्ग करावे, असा आदेश जिल्हाधिकारी अनिल कवडे यांनी जिल्हा पुरवठा विभागाला दिला आहे",NP
"काहीतरी मोठं करण्याची आपली योजना होती, असंही हुसैननं कबुल केलंय",हुसेननेही कबूल केले की काहीतरी मोठे करण्याचा प्लॅन होता,P
कामाच्या ठिकाणी सतर्क राहा,तरीही नदीक्षेत्र नियमनाचे नवे धोरण आणण्यात दिरंगाई होत असल्याचे दिसत असून नद्यांच्या संरक्षणासाठी उपायही होताना दिसत नाही,NP
"राजकीय इच्छाशक्ती असली की, कामे कशी मार्गी लावता येतात, याचे नागपूर मेट्रो हे उत्तम उदाहरण आहे",राजकीय इच्छाशक्ती असल्याने नागपूर मेट्रो रेल्वेचे काम गतीने पुढे जात आहे,P
अर्थसंकल्पात करवाढ नसल्याने नागरिकांना दिलासा मिळाला आहे,"पण, यंदा करवाढ नसण्याचे स्पष्ट संकेत असून नागरिकांना दिलासा मिळणार आहे",NP
"करोनाचा प्रताप दृश्य स्वरूपाचा आणि जलदगतीचा असतो, तर हवेचं प्रदूषण मंदगतीने होणारे अदृश्य रुपातले आक्रमण असते","कोरोना विषाणू दृश्यमान आणि वेगवान असताना, वायू प्रदूषण हा एक संथ, अदृश्य हल्ला आहे",P
"महाविकास आघाडीमध्ये काँग्रेसराष्ट्रवादी सहभागी असल्यामुळे दोन्ही पक्षांच्या नेत्यांना विश्वासात घेऊनच प्रशासक नियुक्तीचा निर्णय व्हावा, अशी विनंती केली होती","महाविकास आघाडीत काँग्रेस राष्ट्रवादीचा सहभाग असल्याने दोन्ही पक्षांच्या नेत्यांना विश्वासात घेऊनच प्रशासक नियुक्तीचा निर्णय घ्यावा, अशी विनंती करण्यात आली",P
आज दिवसभरात राज्यात १२ हजार ८२२ नवीन करोना बाधित रुग्णांचे निदान झाले आहे,आज तब्बल १२ हजार ८२२ नवीन रुग्णांची नोंद झाली आहे,P
यात मंडलिक जखमी झाले,यात मंडलिक आणि योगेश दोघेही जखमी झाले आहेत,NP
"सध्या उसाचे क्षेत्रफळ आठ लाख २२ हजार हेक्‍टर असून, सुमारे ५८८ लाख मेट्रिक टन ऊस गाळपासाठी उपलब्ध होऊ शकणार आहे","सध्या उसाचे क्षेत्रफळ आठ लाख २२ हजार हेक्टर असून, सुमारे ५५० लाख मेट्रिक टन ऊस गाळपासाठी उपलब्ध होईल, अशी शक्यता आहे.",NP
"परीक्षा विभागाने अचानक सर्व कॉलेजेसला पत्र पाठवून सर्व परीक्षाशुल्क ऑनलाइनच ट्रान्सफर करावे, असे नमूद केले आहे","परीक्षा विभागाने अचानक सर्व कॉलेजेसला पत्र पाठवून सर्व परीक्षाशुल्क ऑनलाइनच ट्रान्सफर करावे, असे नमूद केले होते.",NP
हे गैरप्रकार रोखण्यासाठी विशेष समित्या स्थापन करण्यात येणार आहेत,या योजनेची सविस्तर माहिती प्राप्त करण्याकरिता मनपाच्या दहाही झोनमध्ये विशेष मदत कक्ष सुरू करण्यात आले आहेत,NP
अखेर मीरा रोड पोलिसांनी २७ फेब्रुवारी २००८ मध्ये हुमा व शेख यांना अटक केली होती,"अखेर, मीरा रोड पोलिसांनी २७ फेब्रुवारी २००८ मध्ये हुमा व तिच्या भावाला अटक केली",NP
तेव्हा मनसेने विरोध केला नाही,त्यामुळेच कुणासाठी तरी विरोध किंवा पाठिंबा अशी भूमिका मनसे घेणार नाही,NP
झेडपीचा मुंबईत सन्मान,"तर, लिबीया सरकारला तुर्कीकडून पाठिंबा मिळत आहे",NP
त्याचा फटका शहरातील रस्त्यांनाही बसतो,त्याचा परिणाम शहरातील रस्त्यांवरही होत आहे,P
त्याच्या पिकअप व्हॅनमध्ये म्हशीचं मांस भरलेलं होतं,त्यांची पिकअप व्हॅन म्हशीच्या मांसाने भरलेली होती,P
करोनाची बाधा होणे आता सामाजिक कलंक राहीलेला नाही,"धर्माधिकारी म्हणाले, करोनाची बाधा होणे आता सामाजिक कलंक राहिलेला नाही",NP
त्यात करमाफी असताना प्रेक्षकांकडून करमणूककर आकारला गेल्याचे स्पष्ट झाले,करमाफी असताना मुंबईतील मल्टिप्लेक्स थिएटर्सनीही करमणूक कर आकारल्याचे स्पष्ट झाले होते,NP
"पुणे शहर आणि जिल्ह्यातील करोनाबाधितांच्या बरे होण्याच्या प्रमाणात दिवसेंदिवस वाढ होत असून, १२ ऑगस्टपर्यंत ७५ टक्क्यांहून अधिक रुग्ण करोनामुक्त झाले आहेत","पुणे शहर आणि जिल्ह्यात कोरोना रुग्ण बरे होण्याचे प्रमाण दिवसेंदिवस वाढत असून, १२ ऑगस्टपर्यंत ७५ टक्के रुग्ण कोरोना विषाणूतून बरे झाले आहेत",P
झाडापाठोपाठ भिंत कोसळली आणि मी त्या खाली दाबला गेलो,या आधी येथे एक झाड पडले होते,NP
पिण्याच्या पाण्यासाठी महिलांना ऐन उन्हात मोठी वणवण करावी लागत आहे,त्यामुळे घरातील सगळी कामे सोडून महिलांना पिण्याच्या पाण्यासाठी भर उन्हात वणवण करावी लागली,NP
जिल्ह्यात सर्वाधिक सदस्य माजलगाव मतदारसंघातून राष्ट्रवादीचे अकरा पैकी नऊ सदस्य विजयी झाले आहेत,जिल्ह्यात सर्वाधिक सदस्य माजलगाव मतदारसंघातून राष्ट्रवादीचे अकरा पैकी आठ सदस्य विजयी झाले आहेत.,NP
"मराठी, गुजराती, हिंदीभाषिक, मुस्लिम, राजस्थानी, ख्रिश्चन, दक्षिण भारतीय असा संमिश्र मतदार इथे आहे","या परिसरात मराठी, गुजराती, अल्प प्रमाणात ख्रिश्चन अशी मिश्रवस्ती आहे",NP
त्यांच्या गुणवत्तेला वाव देण्यासाठी प्रयत्न हवेत,त्यांच्या गुणवत्तेला वाव द्यायचा आहे,NP
लॉरेन्स बिश्नोईच्या इशाऱ्यावरून त्याने डिसेंबर २०१९ मध्ये मनोट येथे एकाची हत्या केली होती,लॉरेन्स बिश्नोईच्या सांगण्यावरून त्याने डिसेंबर 2019 मध्ये मनोट येथे एकाची हत्या केली,P
विद्यार्थ्यांची आर्थिक समस्या दूर होईल,विद्यार्थ्यांचे आर्थिक प्रश्न सुटतील,P
ते यशवंतराव चव्हाण यांच्या समाधी स्थळी आत्मक्लेश उपोषणास बसले आहेत,"प्रतिनिधी, बीड राज्याचे उपमुख्यमंत्री अजित पवार हे रविवारी कऱ्हाड येथील यशवंतराव चव्हाण यांच्या समाधी स्थळी आत्मक्लेश करण्यासाठी उपोषणास बसले आहेत",NP
हा फोटो फेक आहे आणि अन्य एका फोटोसोबत छेडछाड करून हा फोटो बनवला आहे,हा फोटो बनावट असून दुसऱ्या फोटोशी छेडछाड करण्यात आली आहे,P
मध्य रेल्वेवर एकूण चार लेडीज स्पेशल सेवा आहेत,"संध्याकाळच्या वेळी चर्चगेटबोरिवली, चर्चगेटविरार अशा एकूण चार लेडीज स्पेशल सेवा असतात",NP
त्यांनाही सक्ती करावीअहमद शेख,या दोघांनाही नोटिसा देण्यात आल्या,NP
सध्या उस्मानाबाद व लातूर या दोन्ही जिल्ह्याचे वनक्षेत्र हे उस्मानाबाद उपवनविभागात समाविष्ट आहे,उस्मानाबाद व लातूर जिल्ह्यात तर दोन टक्क्याहून कमी वनक्षेत्र आहे,NP
आशुतोषला तिनं प्राधान्य दिलं,तिने आशुतोषला पसंती दिली,P
"तेव्हा आता लगेच पदकाची अपेक्षा वैगरे करू नका, अशी विनंती आहे’ ओंकारसिंग (प्रशिक्षक) ","तेव्हा आता लगेच पदकाची अपेक्षा वैगरे करू नका, अशी विनंती आहे’",NP
"तक्रारीवर कारवाई करताना पोलिसांनी आयटी अॅक्टच्या वेगवेगळ्या कलमांनुसार, आरोपीवर गुन्हा दाखल केलाय",या तक्रारीवरून पोलिसांनी आरोपीविरुद्ध आयटी कायद्याच्या विविध कलमान्वये गुन्हा दाखल केला,P
सर्व जखमी हे एकाच कुटुंबातील असून त्यांच्यावर उपचार सुरू आहेत,"सर्वांना शासकीय वैद्यकीय महाविद्यालय व रुग्णालयात दाखल केले असून, त्यांच्यावर उपचार सुरू आहेत",NP
राहुल गांधी यांनी अर्थमंत्री निर्मला सीतारामन यांच्या वक्तव्यावर देखील टिप्पणी केली आहे,राहुल गांधी यांनीही अर्थमंत्री निर्मला सीतारामन यांच्या वक्तव्यावर भाष्य केले आहे,P
"रवींद्रकुमार सिंगल यांनीच याप्रश्नी लक्ष घालावे, अशी मागणी होत आहे",रवींद्रकुमार सिंगल यांनी केले आहे,NP
याबाबत क्रिएटिव्ह फाउंडेशनचे संदीप खर्डेकर यांनी महापालिकेचे आयुक्त महेश पाठक यांच्याकडे तक्रार केली,या पार्श्वभूमीवर क्रिएटिव्ह फाऊंडेशनचे संदीप खर्डेकर यांनी या ग्रेड सेपरेटरच्या कामाबाबत महापालिकेचे आयुक्त महेश पाठक यांच्याकडे तक्रार केली आहे,NP
मुंबई पालिकेने कचरा व्यवस्थापनासाठी नव्याने कचरा कर आकारण्यासाठी केलेल्या हालचालींनी मुंबईकरांमध्ये संमिश्र प्रतिक्रिया उमटत आहेत,"मुंबई महापालिकेने आता मुंबईकरांवर कचरा कर लावण्याच्या हालचाली सुरू केल्या आहेत, ज्याला नागरिकांकडून विविध प्रकारचा प्रतिसाद मिळत आहे",P
"सरकारने जीवनावश्यक वस्तूंचा जीएसटी दर कमी केला असून, बांधकाम सामग्रीवरील जीएसटीही घटवला आहे",रोजच्या जगण्यात वापरण्यात येणाऱ्या वस्तूंवरील व बांधकाम सामग्रीवरील जीएसटी दर कमी करण्यात आला आहे,P
२०) रात्री भरधाव वाहनाने धडक दिल्याने दुचाकीवरील दोन तरुण जागीच ठार झाले,२०) रात्री भरधाव अज्ञात वाहनाने दुचाकीला धडक दिल्याने दुचाकीवरील दोन जण जागीच ठार झाले,NP
"चेनसिंग, गगन नारंग आणि सुरेंद्रसिंग (एकूण ३४९०) यांनी सुवर्णपदक पटकावले","सांघिकमध्ये चेनसिंग, गगन नारंग, सुरेंद्रसिंह राठोडने सुवर्णपदक पटकावले",NP
चिंदबरम यांनी अर्थ मंत्री निर्मला सीतारमण यांच्यावर त्यांच्याच देवाची करणी वक्तव्यावरून निशाणा साधलाय,देवाची करणी या विधानावरून चिंदबरम यांनी अर्थमंत्री निर्मला सीतारामन यांच्यावर निशाणा साधला आहे,P
लॉकडाउनमुळे आर्थिक संकटात सापडलेल्या भिवंडीकरांना दिलासा देण्यासाठी लॉकडाउन काळातील तीन महिन्यांचा मालमत्ता कर आणि पाणीपट्टी माफ करण्याची घोषणा बुधवारी महापौर प्रतिभा पाटील यांनी केली,लॉकडाऊनमुळे आर्थिक संकटात सापडलेल्या भिवंडीवासीयांना दिलासा देण्यासाठी लॉकडाऊन कालावधीत तीन महिन्यांसाठी मालमत्ता कर आणि पाणीपट्टी माफ करण्याची घोषणा ठाण्याच्या महापौर प्रतिभा पाटील यांनी बुधवारी केली,P
"प्रतिनिधी, खडकीउद्घाटनापासूनच वादाच्या भोवऱ्यात सापडलेले खडकी कॅन्टोन्मेंट बोर्डाच्या हद्दीतील गवळीवाडा येथील सार्वजनिक शौचालय पुन्हा वादात अडकले आहे","प्रतिनिधी, खडकीउद्घाटनापासूनच वादाच्या भोवयात सापडलेले खडकी कँन्टोन्मेंट बोर्डाच्या हद्दीतील गवळीवाडा येथील शौचालय पुन्हा वादात अडकले आहे",NP
बुडीत गावे  या धरणाखाली १७ गावे बुडणार असून त्यांचे पुनर्वसन झालेले नाही,"या धरणाखाली १७ गावे बुडणार असून, त्यांचे पुनर्वसन झालेले नाही",NP
त्यानंतर त्याने पार्ट टाइम जॉब सुरू केला,त्यानंतर त्यांनी अर्धवेळ नोकरी सुरू केली,P
सकाळी नऊला निगडीच्या भक्तीशक्ती समूह शिल्प चौक आणि भोसरी चौकातून या बस सुटणार आहेत,येवला बस स्थानकातून दररोज सकाळी सात आणि दुपारी पावणेतीन वाजता बसेस नाशिकच्या दिशेने रवाना होणार आहेत,NP
महात्मा गांधी यांचा जन्मदिवस २ ऑक्टोबर जागतिक अहिंसा दिवस म्हणून साजरा केला जातो,महात्मा गांधी यांचा जन्मदिवस २ ऑक्टोबर हा जागतिक अहिंसा दिन म्हणून साजरा केला जातो,P
त्यांच्यासाठीची सध्याची आरोग्य सुविधा योजना पुरेशी लाभादायक नाही,सध्याची आरोग्य योजना त्यांच्यासाठी पुरेशी फायदेशीर नाही.,P
अशी एकूण १०० पथके तयार करण्यात आली आहेत,यासाठी कर्मचाऱ्यांची १०० पथके तैनात करण्यात आली आहेत,P
हे त्याने स्वतः युरोप ट्रीपच्या दरम्यान रियाला सांगितलं होतं,यूरोप ट्रीपमध्ये त्याने स्वतः ही गोष्ट रियाला सांगितली,P
"शक्ती शर्मा, नवी दिल्ली पूर्वी इंजिनीअरिंग म्हणजे विज्ञान, आयटी, सिव्हील, इलेक्ट्रिकल असाच समज होता","शक्ती शर्मापूर्वी इंजिनीअरिंग म्हणजे विज्ञान, आयटी, सिव्हील, इलेक्ट्रिकल असाच समज होता",NP
ती मान्य करण्यात आली असून ही उद्याने मनपाला हस्तांतरीत करण्याचा निर्णय घेण्यात आला,"ती मान्य केली गेली असून, उद्यापासून मनपाला हस्तांतरण करण्याचा निर्णय घेतला गेला.",P
"काहींनी सायकली विकल्याही असतील पण, अनेक मुलींनी सायकली खरेदी केल्या आणि त्यावर बसूनच त्या शाळेत जातात, ही वस्तुस्थिती आहे","पण, अनेक मुलींनी सायकली खरेदी केल्या आणि त्यावर बसूनच त्या शाळेत जातात, ही वस्तुस्थिती आहे",NP
दक्षता आयोगाच्या माजी प्रमुखांच्या अध्यक्षतेखालील सदस्यिय समितीने तयार केलेला हा अहवाल प्रसिद्ध करण्यात आला,दक्षता आयोगाच्या माजी प्रमुखांच्या अध्यक्षतेखालील पाच सदस्यीय समितीने तयार केलेला हा अहवाल शनिवारी प्रसिद्ध करण्यात आला,NP
विद्यापीठाच्या अखत्यारीत असलेल्या जिल्ह्यांमध्ये ‌भीषण दुष्काळ व पाणीटंचाईचे सावट आहे,राज्यात यंदा भीषण दुष्काळ व पाणी टंचाईचे सावट आहे,NP
काही खळबळजनक बातमी ऐकण्यासाठी सगळ्यांचीच उत्सुकता शिगेला पोचली होती,प्रत्येकजण काही रोमांचक बातमी ऐकण्यासाठी उत्सुक होता,P
व्यवस्थापन समितीने सर्वाधिकार स्वतःकडेच ठेवले आहेत,या निकालाने कॉंग्रेसने गेल्या अनेक वर्षांपासूनची जागा आपल्याकडे अबाधीत राखत पंचायत समितीची सत्ता आपल्या ताब्यात ठेवण्यात यश मिळविले आहे,NP
मुख्यमंत्री कार्यालयातील महिला कर्मचाऱ्यांनी औक्षण करून उद्धव ठाकरे यांचे स्वागत केले,मुख्यमंत्री कार्यालयातील कर्मचाऱ्यांनी औक्षण करून त्यांचं स्वागत केलं,NP
त्यामुळे सुमारे ३५० हून अधिक विद्यार्थ्यांच्या झालेल्या प्रवेशाला रद्द करण्याची वेळ राज्य सरकारवर आली,त्यामुळे सुमारे साडेतीनशेहून अधिक विद्यार्थ्यांच्या झालेल्या प्रवेशाला रद्द करण्याची वेळ राज्य सरकारवर आली,NP
त्यामुळे माळशेज घाट परिसरात पर्यटकांचा उच्छाद नव्हता,त्यामुळे माळशेज घाट परिसरात पर्यटकांची गर्दी नव्हती,P
"सुधीर जोगळेकर गणिताची आवड कापरेकरांच्या मनात त्या काळात जी निर्माण झाली, ती पुढे आयुष्यभर राहिली","गणिताची आवड कापरेकरांच्या मनात त्या काळात जी निर्माण झाली, ती पुढे आयुष्यभर राहिली",NP
"तसेच, व्हाउचरचा ओटीपी पाठविण्यासाठी एका कंपनीकडून एक लाख एसएमएसचा पॅक घेतला होता","तसेच, व्हाउचरचा ओटीपी जाण्यासाठी एका कंपनीकडून एक लाख एसएमएसचा पॅक घेतला होता",P
हे एक प्रकारचं वादळच होतं,ते एक प्रकारचे वादळ होते,P
पोलिसांनी सापळा रचून तीन मुलींची सुटका केली,पोलिसांनी शुक्रवार पेठेत टाकलेल्या छाप्यात दोन अल्पवयीन आणि तीन सज्ञान मुलींची सुटका केली आहे,NP
"मात्र, या वेळी ड्रायव्हरने स्वत:ला कसेबसे सावरले","मात्र, यावेळी चालक सावरण्यात यशस्वी झाला",P
दक्षिण चीन समुद्र सामरीकदृष्ट्या अतिशय महत्त्वाचा आहे,दक्षिण चीन समुद्र हे सामरिकदृष्ट्या अत्यंत महत्त्वाचे ठिकाण आहे.,P
यापूर्वीही अमिताभ यांनी केबीसीच्या शुटिंग सेटवरील काही फोटो शेअर केले होते,अमिताभ यांनी यापूर्वी केबीसीच्या शूटिंग सेटवरील काही फोटो देखील शेअर केले होते,P
या कार्यक्रमाला पोलिसांनी परवानगी नाकारली होती,पोलिसांनी या कार्यक्रमाला परवानगी नाकारली,P
युएईला जातानाही त्याने टीमसोबत न जाता स्वतःच्या खासगी विमानानं जाणं सोईस्कर मानलं,यूएईला त्याने संघासोबत जाण्याऐवजी स्वत:च्या खासगी विमानाने जाणे सोयीचे मानले.,P
"त्यानुसार गणेशोत्सवदेखील साधेपणाने साजरा करण्यात यावा, असे ठरवण्यात आले आहे",यंदाचा गणेशोत्सव साधेपणाने साजरा होणार आहे,P
"सिद्धार्थ यांच्यावरील कारवाई नियमांनुसारच असून, त्यांनी आपल्याकडे काळा पैसा असल्याची कबुली दिली होती, असे प्राप्तिकर विभागाने म्हटले आहे",सीसीडीचे संस्थापक सिद्धार्थ बेपत्ता असून त्यांनी कर्मचाऱ्यांना उद्देशून लिहिलेल्या पत्रात आयकर विभागाकडून छळवणूक झाल्याचा आरोप केला आहे,NP
"गणपती दर्शनासाठी ऑनलाइन, केबल नेटवर्क, फेसबुकच्या माध्यमातून सुविधा उपलब्ध करून देण्याचेही आवाहन त्यांनी केले आहे","ऑनलाइन, केबल नेटवर्क, फेसबुकच्या माध्यमातून गणपती दर्शनासाठी सुविधा उपलब्ध करून देण्याचे आवाहनही त्यांनी केले आहे",P
किरण सावे यांनी काढले,आता हे प्रमाणही कमी होणार असल्याचे विभागीय आयुक्त सौरभ राव यांनी पत्रकार परिषदेत सांगितले,NP
यात फिंगरप्रिंट सेन्सर दिला आहे.,यात इनडिस्प्ले फिंगरप्रिंट सेन्सर दिला आहे,NP
"त्यातून विषबाधा झाल्याने दोन भावांचा आणि आदित्यची प्राणज्योत मालवली, असे समजते","त्यातून विषबाधा झाल्याने दोन भावांची प्राणज्योत मालवली, असे समजते",NP
सोमवारी सकाळी जिल्हाधिकारी श्वेता सिंघल यांच्या हस्ते वृक्षरोपण करून ३३ कोटी वृक्ष लागवड कार्यक्रमाचा प्रारंभ जिल्ह्यात करण्यात आला,सोमवारी सकाळी जिल्हाधिकारी श्वेता सिंघल यांनी वृक्षारोपण करून जिल्ह्यात ३३ कोटी वृक्ष लागवडीचा प्रारंभ केला.,P
बियाणांमुळे रोग पडला की वातावरणामुळे रोग पडला याचीही तपासणी केली जाणार आहे,"हा रोग बियाण्यांमुळे होतो की वातावरणामुळे, याचाही शोध घेतला जाईल",P
खूप आठवण येतेय या सगळ्या गोष्टींची,या सगळ्याची खूप आठवण येते,P
इथंच उपचारा दरम्यान त्यांचं निधन झालं,येथे उपचारादरम्यान त्यांचा मृत्यू झाला,P
फोन क्वॉलकॉम स्नॅपड्रॅगन प्रोसेसर सोबत येतो,फोन क्वालकॉम स्नॅपड्रॅगन प्रोसेसरसह येतो,P
शनिवारी आपल्या मुलासाठी डायपर घेऊन हार्दिक हॉस्पिटलमध्ये गेल्याचे पाहायला मिळाले,हार्दिक शनिवारी आपल्या मुलासाठी डायपर घेऊन हॉस्पिटलमध्ये जाताना दिसला,P
तिथे ऑपरेशन महिनाभर चालूनही फसले,तेथे महिनाभरानंतरही ऑपरेशन अयशस्वी झाले,P
"तसेच, अनधिकृत वीजवापराची रक्कम वसूल करण्यात येईल",ही रक्कम अडीच कोटीच्या घरात असून ती या फ्लॅटधारकांच्या मालमत्ता करात समायोजित करण्यात येणार आहे,NP
असा सवाल राऊत यांनी विचारला होता,असा सवाल राऊत यांनी केला,P
याचिका कर्त्यांनी सरकारी गाईडलाईन्सची काळजी घ्यावी,याचिका कर्त्यांकडून सरकारी गाईडलाईन्सची काळजी घेतली जावी,P
पण शुक्रवारी उशिरापर्यंत स्वयंसेवकांची संख्या पाच हजारांपर्यंत गेली,शुक्रवारच्या संध्याकाळपर्यंत स्वयंसेवकांची संख्या पाच हजारांपर्यंत वाढली.,P
यापार्श्वभूमीवर गळीतास येणाऱ्या ऊसाला पहिला हप्ता एक हजार ८०० रुपये देण्याचा महत्वाचा निर्णय घेण्यात आला आहे,"प्रतिनिधी येत्या एक नोव्हेंबरपासून मराठवाड्यातील साखर कारखान्यात गाळप सुरू होणार असून, यंदा ऊसाचा पहिला हप्ता सुमारे एक हजार ८०० रुपये देण्याचा निर्णय घेण्यात आला आहे",NP
"‘व्हीआरएस’अंतर्गत कंपनीस १२ हजारकोटी रुपयांहून अधिक रक्कम द्यावी लागणार आहे आणि यामुळे या प्रस्तावासमान्यता मिळालेली नाही, असे कंपनीच्या सूत्रांनी सांगितले","‘व्हीआरएस’अंतर्गत कंपनीस १२ हजार कोटी रुपयांहून अधिक रक्कम द्यावी लागणार आहे आणि यामुळे या प्रस्तावास मान्यता मिळालेली नाही, असे कंपनीच्या सूत्रांनी सांगितले",NP
मैदानात जाहीर सभा आयोजित करण्यात आली आहे,तसेच जाहीर सभेचेही आयोजन करण्यात आले आहे,NP
यंदा मुलरच्याबाबतीत तेच झाले,"श्री समर्थ, शिवशक्ती विजेतेविजय चव्हाण, सोनाली शिंगरे स्पर्धेत सर्वोत्तम",NP
चेतन मन हे संस्कार समजूनउमजून विचारपूर्वक बनवते,मनावरील संस्कार तसेच सामाजिक समजुतींमुळे हे घडते,NP
आपल्या मानदुखीचे सर्वांत महत्त्वाचे कारण म्हणजे एका स्थितीत अनेक तास बसून काम करणे,अनेक दिवस शारीरिक थकवा कायम होता,NP
याची वैधता ८४ दिवसांची आहे,म्हणजेच ८४ दिवसांची वैधता मिळते,P
फ्लिपकार्टवरून खरेदी केले जावू शकेल,त्यानंतर या फोनला फ्लिपकार्टवरून खरेदी केले जावू शकते,NP
महसूल उपलब्ध होणार आहे,करपूर्ततेत झालेली सुधारणा व प्रशासनात झालेली सुधारणा यामुळे सरकारचा महसूल वाढणार आहे,NP
"पाकिस्तानचेही तसेच, नऊ लढतींमध्ये पाच विजय, तीन पराभव आणि एक अनिकाली लढत",साखळीतील कामगिरी: ९ वनडे ५ विजय ३ पराभव १ अनिकाली,NP
"आम्हाला सांगा, हृषिदा अचानक गप्प का झाले?","मग सांगून टाका, हृषिदा अचानक गप्प का झाले?",NP
डिसेंबर पर्यंत काम पूर्ण होण्याची अपेक्षा व्यक्त केली जात आहे,येत्या डिसेंबरपर्यंत हे उद्दिष्ट पूर्ण होणार असल्याचे त्यांनी सांगितले,P
या एजन्सीच्या सीईओंना समन्स बजावण्यात आल्याचे सूत्रांचे म्हणणे आहे,या एजन्सीच्या सीईओंना समन्स बजावण्यात आल्याचं सूत्रांचं म्हणणं आहे,NP
पहिला पगार हातात आल्यानंतर खूप आनंद झाला,माझ्या पहिल्या पगाराचा सदुपयोग झाल्याचा मला खूप आनंद झाला,NP
दुपारपासून पावसाला सुरुवात झाली,दुपारनंतर पुन्हा पावसाच्या एकदोन हलक्या सरींनी हजेरी लावली,P
वस्त्रप्रावरणे वा दागिने परिधानास चांगला दिवस,वस्त्रप्रावरणे परिधान करण्यास चांगला दिवस,NP
तीन रुपयांपासून ते मोठ्या व्यवहारांना १० रुपयांपर्यंत दर आकारण्यात येत आहे,त्यानंतर प्रत्येक १० टक्के ‘बर्थ बुकिंग’ नंतर तिकीट दरांत १० टक्के वाढ करण्यात येते,NP
भारत आणि चीन मध्ये दरम्यान तणावाची स्थिती कायम आहे,सध्या भारत - चीन यांच्यातील संबंध तणावपूर्ण बनले आहेत,P
"मात्र राज्य सरकारने महापालिकेला अनुदान दिल्यास करमाफी देता येईल, अशी पुस्ती प्रशासनाने जोडल्यामुळे हा दिलासा प्रत्यक्षात येण्यास अवकाश दिसतो","मात्र, राज्य सरकारने महापालिकेला अनुदान दिल्यास करात सूट मिळू शकते, असे प्रशासनाने जोडल्याने ही सवलत प्रत्यक्षात येण्यास अवकाश आहे",P
शंतनू घाटे यांनी बाजू मांडली,सुदीप जायस्वाल यांनी बाजू मांडली,NP
"विशेष म्हणजे, आतापर्यंत केलेल्या निदानातून तब्बल ४० ते ५० रुग्ण उच्च रक्तदाबाच्या उंबरठ्यावर असल्याचे प्रशासनाला आढळले",विशेष म्हणजे आतापर्यंत झालेल्या निदानातून तब्बल ४० ते ५० रुग्ण उच्च रक्तदाबाच्या मार्गावर असल्याचे प्रशासनाला आढळून आले आहे,P
